task,model,N,d,n_draws,inflation_mean,ci_low,ci_high,sd
imagery_fists_feet,riemann_ts_lr,ols,log2N_x_log2d,195,-0.00195505,-0.00410479,0.000303439,
imagery_left_right_fist,riemann_ts_lr,ols,intercept,195,-0.0709626,-0.117766,-0.015183,
imagery_left_right_fist,riemann_ts_lr,ols,log2N,195,-0.0010481,-0.0118302,0.00792657,
imagery_left_right_fist,riemann_ts_lr,ols,log2d,195,0.0157138,0.00857519,0.0221676,
imagery_left_right_fist,riemann_ts_lr,ols,log2N_x_log2d,195,-0.000352461,-0.00158333,0.00102466,
real_fists_feet,riemann_ts_lr,ols,intercept,195,-0.0146167,-0.112193,0.109061,
real_fists_feet,riemann_ts_lr,ols,log2N,195,-0.0134186,-0.0362625,0.00488543,
real_fists_feet,riemann_ts_lr,ols,log2d,195,0.0344324,0.0203328,0.0480166,
real_fists_feet,riemann_ts_lr,ols,log2N_x_log2d,195,-0.00214433,-0.00462325,0.00044885,
real_left_right_fist,riemann_ts_lr,ols,intercept,195,-0.123348,-0.19292,-0.0462809,
real_left_right_fist,riemann_ts_lr,ols,log2N,195,0.00496851,-0.00927142,0.0177463,
real_left_right_fist,riemann_ts_lr,ols,log2d,195,0.0303464,0.0207816,0.0404037,
real_left_right_fist,riemann_ts_lr,ols,log2N_x_log2d,195,-0.00193736,-0.00381982,-0.000113013,
