task,protocol,seed,fold,d,n_train,n_test,train_acc,test_acc,w_norm,explained_var
imagery_left_right_fist,trial_random,20260918,trial1,32,3265,1633,0.546095,0.513166,0.192025,0.831307
imagery_left_right_fist,trial_random,20260918,trial1,64,3265,1633,0.57611,0.521739,0.485035,0.890652
imagery_left_right_fist,trial_random,20260918,trial1,128,3265,1633,0.686677,0.62523,3.83842,0.925886
imagery_left_right_fist,trial_random,20260918,trial1,256,3265,1633,0.745482,0.675444,7.05202,0.943689
imagery_left_right_fist,trial_random,20260918,trial1,512,3265,1633,0.779173,0.665034,9.8998,0.964308
imagery_left_right_fist,trial_random,20260918,trial1,1024,3265,1633,0.854211,0.653399,15.9024,0.986655
imagery_left_right_fist,trial_random,20260918,trial1,2080,3265,1633,0.954364,0.641764,22.8088,1
imagery_left_right_fist,trial_random,20260918,trial2,2,3266,1632,0.50398,0.488358,0.00686523,0.630019
imagery_left_right_fist,trial_random,20260918,trial2,4,3266,1632,0.511635,0.497549,0.0151903,0.662478
imagery_left_right_fist,trial_random,20260918,trial2,8,3266,1632,0.512554,0.508578,0.0550967,0.707324
imagery_left_right_fist,trial_random,20260918,trial2,16,3266,1632,0.533068,0.502451,0.124324,0.764749
imagery_left_right_fist,trial_random,20260918,trial2,32,3266,1632,0.545928,0.511029,0.223689,0.828328
imagery_left_right_fist,trial_random,20260918,trial2,64,3266,1632,0.558175,0.514706,0.414483,0.888924
imagery_left_right_fist,trial_random,20260918,trial2,128,3266,1632,0.664115,0.64277,3.72151,0.924666
imagery_left_right_fist,trial_random,20260918,trial2,256,3266,1632,0.738518,0.696078,7.046,0.942695
imagery_left_right_fist,trial_random,20260918,trial2,512,3266,1632,0.770361,0.693015,9.61037,0.96361
imagery_left_right_fist,trial_random,20260918,trial2,1024,3266,1632,0.848438,0.669118,15.7945,0.986369
imagery_left_right_fist,trial_random,20260918,trial2,2080,3266,1632,0.952235,0.656863,23.0674,1
imagery_left_right_fist,trial_random,20260919,trial0,2,3265,1633,0.504747,0.496632,0.0049237,0.633984
imagery_left_right_fist,trial_random,20260919,trial0,4,3265,1633,0.503522,0.510104,0.0188303,0.666459
imagery_left_right_fist,trial_random,20260919,trial0,8,3265,1633,0.517611,0.50398,0.0550183,0.710521
imagery_left_right_fist,trial_random,20260919,trial0,16,3265,1633,0.533538,0.502756,0.131677,0.767363
imagery_left_right_fist,trial_random,20260919,trial0,32,3265,1633,0.537213,0.505205,0.209906,0.830959
imagery_left_right_fist,trial_random,20260919,trial0,64,3265,1633,0.565084,0.515615,0.456686,0.890518
imagery_left_right_fist,trial_random,20260919,trial0,128,3265,1633,0.680245,0.637477,3.78451,0.925731
imagery_left_right_fist,trial_random,20260919,trial0,256,3265,1633,0.745176,0.676669,7.13019,0.943547
imagery_left_right_fist,trial_random,20260919,trial0,512,3265,1633,0.777642,0.679731,9.78986,0.964194
imagery_left_right_fist,trial_random,20260919,trial0,1024,3265,1633,0.856662,0.662584,15.8765,0.986602
imagery_left_right_fist,trial_random,20260919,trial0,2080,3265,1633,0.950077,0.639927,22.8475,1
imagery_left_right_fist,trial_random,20260919,trial1,2,3265,1633,0.509342,0.49357,0.0103881,0.632831
imagery_left_right_fist,trial_random,20260919,trial1,4,3265,1633,0.505666,0.502756,0.0193356,0.665592
imagery_left_right_fist,trial_random,20260919,trial1,8,3265,1633,0.519449,0.503368,0.077203,0.710309
imagery_left_right_fist,trial_random,20260919,trial1,16,3265,1633,0.530168,0.510104,0.113508,0.767492
imagery_left_right_fist,trial_random,20260919,trial1,32,3265,1633,0.542113,0.515615,0.192478,0.82982
imagery_left_right_fist,trial_random,20260919,trial1,64,3265,1633,0.566922,0.509492,0.517086,0.889369
imagery_left_right_fist,trial_random,20260919,trial1,128,3265,1633,0.685452,0.612982,4.03466,0.925054
imagery_left_right_fist,trial_random,20260919,trial1,256,3265,1633,0.751608,0.666258,6.97348,0.943015
imagery_left_right_fist,trial_random,20260919,trial1,512,3265,1633,0.787749,0.661972,9.65031,0.963836
imagery_left_right_fist,trial_random,20260919,trial1,1024,3265,1633,0.859418,0.657685,15.8611,0.986462
imagery_left_right_fist,trial_random,20260919,trial1,2080,3265,1633,0.94732,0.617881,22.7621,1
imagery_left_right_fist,trial_random,20260919,trial2,2,3266,1632,0.515309,0.496936,0.00346258,0.628904
imagery_left_right_fist,trial_random,20260919,trial2,4,3266,1632,0.513166,0.505515,0.0192379,0.661243
imagery_left_right_fist,trial_random,20260919,trial2,8,3266,1632,0.515309,0.507966,0.0321904,0.706064
imagery_left_right_fist,trial_random,20260919,trial2,16,3266,1632,0.53368,0.534926,0.108937,0.762889
imagery_left_right_fist,trial_random,20260919,trial2,32,3266,1632,0.556338,0.531863,0.229001,0.827142
imagery_left_right_fist,trial_random,20260919,trial2,64,3266,1632,0.567055,0.494485,0.593308,0.887982
imagery_left_right_fist,trial_random,20260919,trial2,128,3266,1632,0.670851,0.64277,3.49708,0.923994
imagery_left_right_fist,trial_random,20260919,trial2,256,3266,1632,0.738212,0.694853,6.77908,0.942188
imagery_left_right_fist,trial_random,20260919,trial2,512,3266,1632,0.774954,0.697917,9.67251,0.963322
imagery_left_right_fist,trial_random,20260919,trial2,1024,3266,1632,0.852113,0.677696,15.6538,0.986275
imagery_left_right_fist,trial_random,20260919,trial2,2080,3266,1632,0.945193,0.660539,22.5928,1
imagery_left_right_fist,trial_random,20260920,trial0,2,3265,1633,0.511792,0.492345,0.00962164,0.633519
imagery_left_right_fist,trial_random,20260920,trial0,4,3265,1633,0.515467,0.494182,0.0426282,0.665582
imagery_left_right_fist,trial_random,20260920,trial0,8,3265,1633,0.519449,0.508879,0.0668058,0.709252
imagery_left_right_fist,trial_random,20260920,trial0,16,3265,1633,0.528637,0.511329,0.132297,0.76566
imagery_left_right_fist,trial_random,20260920,trial0,32,3265,1633,0.553139,0.531537,0.2154,0.828996
imagery_left_right_fist,trial_random,20260920,trial0,64,3265,1633,0.563247,0.537661,0.43788,0.88899
imagery_left_right_fist,trial_random,20260920,trial0,128,3265,1633,0.684533,0.628904,3.83761,0.924625
imagery_left_right_fist,trial_random,20260920,trial0,256,3265,1633,0.736907,0.689528,6.95575,0.942695
imagery_left_right_fist,trial_random,20260920,trial0,512,3265,1633,0.777642,0.68463,9.19502,0.963645
imagery_left_right_fist,trial_random,20260920,trial0,1024,3265,1633,0.85513,0.669933,15.6696,0.986385
imagery_left_right_fist,trial_random,20260920,trial0,2080,3265,1633,0.946708,0.651562,22.7704,1
imagery_left_right_fist,trial_random,20260920,trial1,2,3265,1633,0.504135,0.510716,0.00723997,0.632981
imagery_left_right_fist,trial_random,20260920,trial1,4,3265,1633,0.50781,0.489284,0.0152486,0.664929
imagery_left_right_fist,trial_random,20260920,trial1,8,3265,1633,0.519142,0.500306,0.0651178,0.709467
imagery_left_right_fist,trial_random,20260920,trial1,16,3265,1633,0.523124,0.494795,0.131026,0.765825
imagery_left_right_fist,trial_random,20260920,trial1,32,3265,1633,0.529862,0.50398,0.22245,0.828933
imagery_left_right_fist,trial_random,20260920,trial1,64,3265,1633,0.555283,0.50398,0.440687,0.888864
imagery_left_right_fist,trial_random,20260920,trial1,128,3265,1633,0.669525,0.620943,3.79435,0.9247
imagery_left_right_fist,trial_random,20260920,trial1,256,3265,1633,0.74487,0.665034,7.22306,0.942723
imagery_left_right_fist,trial_random,20260920,trial1,512,3265,1633,0.784074,0.660747,9.9237,0.963665
imagery_left_right_fist,trial_random,20260920,trial1,1024,3265,1633,0.853292,0.656461,15.4052,0.986411
imagery_left_right_fist,trial_random,20260920,trial1,2080,3265,1633,0.948239,0.641151,22.6792,1
imagery_left_right_fist,trial_random,20260920,trial2,2,3266,1632,0.503368,0.498775,0.0101713,0.629292
imagery_left_right_fist,trial_random,20260920,trial2,4,3266,1632,0.51286,0.502451,0.0168831,0.662758
imagery_left_right_fist,trial_random,20260920,trial2,8,3266,1632,0.522045,0.504902,0.0523063,0.708245
imagery_left_right_fist,trial_random,20260920,trial2,16,3266,1632,0.530925,0.515931,0.121137,0.766204
imagery_left_right_fist,trial_random,20260920,trial2,32,3266,1632,0.544091,0.50674,0.216408,0.830009
imagery_left_right_fist,trial_random,20260920,trial2,64,3266,1632,0.560625,0.510417,0.534915,0.890028
imagery_left_right_fist,trial_random,20260920,trial2,128,3266,1632,0.672076,0.645833,3.49936,0.925454
imagery_left_right_fist,trial_random,20260920,trial2,256,3266,1632,0.735456,0.686887,6.99861,0.943322
imagery_left_right_fist,trial_random,20260920,trial2,512,3266,1632,0.778628,0.678309,9.89694,0.964049
imagery_left_right_fist,trial_random,20260920,trial2,1024,3266,1632,0.849663,0.664216,15.9239,0.986539
imagery_left_right_fist,trial_random,20260920,trial2,2080,3266,1632,0.945805,0.64277,22.9055,1
imagery_left_right_fist,run_disjoint,20260916,run0,2,3262,1636,0.501839,0.508557,0.00185301,0.641255
imagery_left_right_fist,run_disjoint,20260916,run0,4,3262,1636,0.507357,0.507946,0.0166349,0.672418
imagery_left_right_fist,run_disjoint,20260916,run0,8,3262,1636,0.523299,0.508557,0.0529529,0.715984
imagery_left_right_fist,run_disjoint,20260916,run0,16,3262,1636,0.527897,0.518337,0.100769,0.772861
imagery_left_right_fist,run_disjoint,20260916,run0,32,3262,1636,0.540773,0.548289,0.181615,0.835756
imagery_left_right_fist,run_disjoint,20260916,run0,64,3262,1636,0.557633,0.553178,0.433578,0.895383
imagery_left_right_fist,run_disjoint,20260916,run0,128,3262,1636,0.673513,0.640587,4.02951,0.92944
imagery_left_right_fist,run_disjoint,20260916,run0,256,3262,1636,0.74065,0.682152,6.92467,0.945804
imagery_left_right_fist,run_disjoint,20260916,run0,512,3262,1636,0.772532,0.690098,9.39834,0.965623
imagery_left_right_fist,run_disjoint,20260916,run0,1024,3262,1636,0.848866,0.679707,15.6923,0.987183
imagery_left_right_fist,run_disjoint,20260916,run0,2080,3262,1636,0.952177,0.642421,23.0198,1
imagery_left_right_fist,run_disjoint,20260916,run1,2,3269,1629,0.502294,0.502149,0.00342326,0.62892
imagery_left_right_fist,run_disjoint,20260916,run1,4,3269,1629,0.512695,0.505218,0.0218234,0.66194
imagery_left_right_fist,run_disjoint,20260916,run1,8,3269,1629,0.513307,0.51504,0.0567104,0.707079
imagery_left_right_fist,run_disjoint,20260916,run1,16,3269,1629,0.523402,0.532842,0.111302,0.764219
imagery_left_right_fist,run_disjoint,20260916,run1,32,3269,1629,0.534108,0.542664,0.18693,0.827792
