dataset,task,protocol,subject,n_test,acc_inductive,acc_transductive,delta
eegbci,real_left_right_fist,subject_disjoint,5,45,0.6,0.622222,0.0222222
eegbci,real_left_right_fist,subject_disjoint,6,45,0.533333,0.533333,0
eegbci,real_left_right_fist,subject_disjoint,7,45,0.511111,0.511111,0
eegbci,real_left_right_fist,subject_disjoint,8,45,0.533333,0.533333,0
eegbci,real_left_right_fist,subject_disjoint,9,45,0.777778,0.777778,0
eegbci,real_left_right_fist,subject_disjoint,10,45,0.755556,0.755556,0
eegbci,real_left_right_fist,subject_disjoint,11,45,0.533333,0.533333,0
eegbci,real_left_right_fist,subject_disjoint,12,45,0.533333,0.533333,0
eegbci,real_left_right_fist,subject_disjoint,13,45,0.777778,0.777778,0
eegbci,real_left_right_fist,subject_disjoint,14,45,0.533333,0.533333,0
eegbci,real_left_right_fist,subject_disjoint,15,45,0.644444,0.644444,0
eegbci,real_left_right_fist,subject_disjoint,16,45,0.733333,0.733333,0
eegbci,real_left_right_fist,subject_disjoint,17,45,0.444444,0.444444,0
eegbci,real_left_right_fist,subject_disjoint,18,45,0.777778,0.8,0.0222222
eegbci,real_left_right_fist,subject_disjoint,19,45,0.533333,0.533333,0
eegbci,real_left_right_fist,subject_disjoint,20,45,0.688889,0.688889,0
eegbci,real_left_right_fist,subject_disjoint,21,45,0.488889,0.488889,0
eegbci,real_left_right_fist,subject_disjoint,22,45,0.777778,0.777778,0
eegbci,real_left_right_fist,subject_disjoint,23,45,0.711111,0.711111,0
eegbci,real_left_right_fist,subject_disjoint,24,45,0.555556,0.555556,0
eegbci,real_left_right_fist,subject_disjoint,25,45,0.488889,0.466667,-0.0222222
eegbci,real_left_right_fist,subject_disjoint,26,45,0.6,0.6,0
eegbci,real_left_right_fist,subject_disjoint,27,45,0.622222,0.622222,0
eegbci,real_left_right_fist,subject_disjoint,28,45,0.533333,0.533333,0
eegbci,real_left_right_fist,subject_disjoint,29,45,0.733333,0.733333,0
eegbci,real_left_right_fist,subject_disjoint,30,45,0.511111,0.511111,0
eegbci,real_left_right_fist,subject_disjoint,31,45,0.866667,0.866667,0
eegbci,real_left_right_fist,subject_disjoint,32,45,0.888889,0.888889,0
eegbci,real_left_right_fist,subject_disjoint,33,45,0.733333,0.733333,0
eegbci,real_left_right_fist,subject_disjoint,34,42,0.619048,0.619048,0
eegbci,real_left_right_fist,subject_disjoint,35,45,0.555556,0.555556,0
eegbci,real_left_right_fist,subject_disjoint,36,45,0.622222,0.622222,0
eegbci,real_left_right_fist,subject_disjoint,37,42,0.5,0.5,0
eegbci,real_left_right_fist,subject_disjoint,38,45,0.488889,0.488889,0
eegbci,real_left_right_fist,subject_disjoint,39,45,0.688889,0.688889,0
eegbci,real_left_right_fist,subject_disjoint,40,45,0.822222,0.822222,0
eegbci,real_left_right_fist,subject_disjoint,41,42,0.642857,0.642857,0
eegbci,real_left_right_fist,subject_disjoint,42,45,0.933333,0.933333,0
eegbci,real_left_right_fist,subject_disjoint,43,45,0.733333,0.733333,0
eegbci,real_left_right_fist,subject_disjoint,44,45,0.844444,0.844444,0
eegbci,real_left_right_fist,subject_disjoint,45,45,0.577778,0.577778,0
eegbci,real_left_right_fist,subject_disjoint,46,45,0.422222,0.444444,0.0222222
eegbci,real_left_right_fist,subject_disjoint,47,45,0.622222,0.6,-0.0222222
eegbci,real_left_right_fist,subject_disjoint,48,45,0.8,0.8,0
eegbci,real_left_right_fist,subject_disjoint,49,45,0.822222,0.822222,0
eegbci,real_left_right_fist,subject_disjoint,50,45,0.577778,0.577778,0
eegbci,real_left_right_fist,subject_disjoint,51,42,0.571429,0.571429,0
eegbci,real_left_right_fist,subject_disjoint,52,45,0.622222,0.622222,0
eegbci,real_left_right_fist,subject_disjoint,53,45,0.511111,0.511111,0
eegbci,real_left_right_fist,subject_disjoint,54,45,0.511111,0.511111,0
eegbci,real_left_right_fist,subject_disjoint,55,45,0.8,0.8,0
eegbci,real_left_right_fist,subject_disjoint,56,45,0.777778,0.777778,0
eegbci,real_left_right_fist,subject_disjoint,57,45,0.733333,0.733333,0
eegbci,real_left_right_fist,subject_disjoint,58,45,0.488889,0.488889,0
eegbci,real_left_right_fist,subject_disjoint,59,45,0.488889,0.488889,0
eegbci,real_left_right_fist,subject_disjoint,60,45,0.777778,0.777778,0
eegbci,real_left_right_fist,subject_disjoint,61,45,0.644444,0.644444,0
eegbci,real_left_right_fist,subject_disjoint,62,45,0.688889,0.666667,-0.0222222
eegbci,real_left_right_fist,subject_disjoint,63,45,0.466667,0.466667,0
eegbci,real_left_right_fist,subject_disjoint,64,42,0.666667,0.666667,0
eegbci,real_left_right_fist,subject_disjoint,65,45,0.666667,0.666667,0
eegbci,real_left_right_fist,subject_disjoint,66,45,0.6,0.6,0
eegbci,real_left_right_fist,subject_disjoint,67,45,0.644444,0.622222,-0.0222222
eegbci,real_left_right_fist,subject_disjoint,68,45,0.644444,0.644444,0
eegbci,real_left_right_fist,subject_disjoint,69,45,0.733333,0.755556,0.0222222
eegbci,real_left_right_fist,subject_disjoint,70,45,0.511111,0.511111,0
eegbci,real_left_right_fist,subject_disjoint,71,45,0.755556,0.755556,0
eegbci,real_left_right_fist,subject_disjoint,72,42,0.666667,0.666667,0
eegbci,real_left_right_fist,subject_disjoint,73,42,0.666667,0.666667,0
eegbci,real_left_right_fist,subject_disjoint,74,42,0.5,0.5,0
eegbci,real_left_right_fist,subject_disjoint,75,45,0.533333,0.533333,0
eegbci,real_left_right_fist,subject_disjoint,76,42,0.666667,0.666667,0
eegbci,real_left_right_fist,subject_disjoint,77,45,0.533333,0.555556,0.0222222
eegbci,real_left_right_fist,subject_disjoint,78,45,0.511111,0.533333,0.0222222
eegbci,real_left_right_fist,subject_disjoint,79,45,0.688889,0.688889,0
eegbci,real_left_right_fist,subject_disjoint,80,45,0.511111,0.511111,0
eegbci,real_left_right_fist,subject_disjoint,81,45,0.533333,0.533333,0
eegbci,real_left_right_fist,subject_disjoint,82,45,0.733333,0.733333,0
eegbci,real_left_right_fist,subject_disjoint,83,45,0.822222,0.822222,0
eegbci,real_left_right_fist,subject_disjoint,84,45,0.444444,0.444444,0
eegbci,real_left_right_fist,subject_disjoint,85,45,0.688889,0.688889,0
eegbci,real_left_right_fist,subject_disjoint,86,45,0.777778,0.8,0.0222222
eegbci,real_left_right_fist,subject_disjoint,87,45,0.555556,0.555556,0
eegbci,real_left_right_fist,subject_disjoint,88,57,0.561404,0.561404,0
eegbci,real_left_right_fist,subject_disjoint,89,52,0.769231,0.788462,0.0192308
eegbci,real_left_right_fist,subject_disjoint,90,45,0.844444,0.844444,0
eegbci,real_left_right_fist,subject_disjoint,91,45,0.577778,0.577778,0
eegbci,real_left_right_fist,subject_disjoint,92,57,0.596491,0.614035,0.0175439
