task,d,acc_trial_random,acc_trial_random_ci_low,acc_trial_random_ci_high,acc_run_disjoint,acc_run_disjoint_ci_low,acc_run_disjoint_ci_high,acc_subject_disjoint,acc_subject_disjoint_ci_low,acc_subject_disjoint_ci_high,d12_mean,d12_ci_low,d12_ci_high,d12_p,d02_mean,d02_ci_low,d02_ci_high,d02_p,n
real_fists_feet,32.0,0.533023,0.52182,0.544871,0.55645,0.541595,0.572382,0.555426,0.543934,0.568486,0.00102464,-0.011551,0.0141678,0.563679,-0.0224027,-0.0325807,-0.0127745,3.69294e-06,109
real_fists_feet,64.0,0.596817,0.575997,0.618968,0.613147,0.592209,0.635653,0.620134,0.602766,0.639158,-0.00698638,-0.0242938,0.00991216,0.366514,-0.0233167,-0.0379777,-0.00868715,0.00022248,109
real_fists_feet,128.0,0.737745,0.711875,0.764667,0.741753,0.714091,0.769096,0.656823,0.63442,0.6814,0.0849302,0.0667268,0.103687,1.46847e-12,0.080922,0.0639718,0.0975974,9.23548e-14,109
real_fists_feet,256.0,0.771383,0.745198,0.798141,0.766011,0.739562,0.791922,0.668178,0.644027,0.692803,0.097833,0.07983,0.116124,7.40627e-15,0.103205,0.0857685,0.120937,5.91515e-17,109
real_fists_feet,512.0,0.771957,0.744768,0.798873,0.76569,0.739739,0.79052,0.662173,0.639255,0.686082,0.103516,0.0859284,0.121087,2.55863e-17,0.109784,0.0913159,0.127847,9.11661e-17,109
real_fists_feet,1024.0,0.76253,0.73704,0.787061,0.757337,0.732825,0.782652,0.658508,0.636244,0.681823,0.0988294,0.082003,0.116843,2.87457e-17,0.104023,0.0863846,0.121241,9.16691e-18,109
real_fists_feet,2080.0,0.751188,0.726227,0.775259,0.74506,0.720813,0.770136,0.653214,0.631227,0.676013,0.0918462,0.0742542,0.110033,1.09095e-15,0.0979744,0.0810586,0.114266,1.40548e-17,109
real_fists_feet,spearman_d12_vs_x,,,,,,,,,,0.727273,,,0.011205,,,,,11
real_left_right_fist,2.0,0.483099,0.476589,0.489666,0.501325,0.496562,0.50587,0.502615,0.499496,0.50591,-0.00129015,-0.00619178,0.0031552,0.773786,-0.0195161,-0.0262296,-0.0130396,2.83273e-07,109
real_left_right_fist,4.0,0.491631,0.48558,0.497604,0.507319,0.501645,0.512909,0.512202,0.507976,0.516365,-0.00488314,-0.0106722,0.000977127,0.0264112,-0.0205712,-0.0265614,-0.0144145,4.51165e-09,109
real_left_right_fist,8.0,0.503487,0.497342,0.510109,0.513907,0.505716,0.522413,0.522666,0.516727,0.528721,-0.00875927,-0.0160091,-0.00135304,0.00665737,-0.0191795,-0.0250593,-0.0132587,6.73731e-08,109
real_left_right_fist,16.0,0.511637,0.504703,0.518749,0.532101,0.521912,0.542799,0.535181,0.526965,0.543427,-0.00307979,-0.0109833,0.00513778,0.301485,-0.0235438,-0.0303746,-0.0165563,1.86898e-09,109
real_left_right_fist,32.0,0.523532,0.516464,0.531472,0.546553,0.536311,0.557596,0.545861,0.537342,0.555256,0.000692708,-0.00954218,0.0117078,0.558794,-0.0223293,-0.0294091,-0.0151606,1.95607e-09,109
real_left_right_fist,64.0,0.5292,0.519112,0.539867,0.572304,0.556795,0.588745,0.563525,0.552127,0.575646,0.00877917,-0.00530495,0.0222943,0.604239,-0.0343246,-0.0440692,-0.024198,6.49378e-10,109
real_left_right_fist,128.0,0.688304,0.664412,0.710377,0.707925,0.685182,0.730898,0.650082,0.628131,0.671262,0.0578432,0.041179,0.0752737,6.93137e-09,0.0382217,0.0221283,0.0552328,0.000115269,109
real_left_right_fist,256.0,0.730521,0.707654,0.751943,0.732281,0.709634,0.753626,0.656923,0.636044,0.677428,0.0753583,0.0580488,0.0931575,8.86828e-13,0.073598,0.0563407,0.0919407,6.15116e-13,109
real_left_right_fist,512.0,0.731555,0.708669,0.753858,0.738897,0.717526,0.759826,0.655759,0.634499,0.676371,0.0831382,0.0664662,0.100703,7.65026e-15,0.0757965,0.0589264,0.0939075,2.82225e-14,109
real_left_right_fist,1024.0,0.723806,0.702873,0.743726,0.732397,0.711102,0.753163,0.649688,0.629737,0.669271,0.0827089,0.0659205,0.100739,3.63908e-14,0.074118,0.0582942,0.0912864,9.97178e-15,109
real_left_right_fist,2080.0,0.712923,0.69305,0.731729,0.710297,0.690284,0.729261,0.640728,0.62224,0.658957,0.0695694,0.0537836,0.0856455,1.90613e-12,0.0721944,0.0575603,0.0879444,1.42851e-15,109
real_left_right_fist,spearman_d12_vs_x,,,,,,,,,,0.872727,,,0.000454615,,,,,11
