dataset,task,model,preproc,protocol,seed,subject,n_test,accuracy
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260916,7,288,0.590278
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260916,8,288,0.819444
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260916,9,288,0.71875
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260917,1,288,0.725694
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260917,2,288,0.569444
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260917,3,288,0.892361
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260917,4,288,0.607639
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260917,5,288,0.555556
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260917,6,288,0.684028
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260917,7,288,0.513889
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260917,8,288,0.875
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260917,9,288,0.736111
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260918,1,288,0.715278
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260918,2,288,0.569444
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260918,3,288,0.666667
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260918,4,288,0.628472
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260918,5,288,0.527778
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260918,6,288,0.597222
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260918,7,288,0.590278
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260918,8,288,0.878472
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260918,9,288,0.791667
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,1,288,0.486111
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,2,288,0.506944
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,3,288,0.552083
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,4,288,0.475694
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,5,288,0.520833
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,6,288,0.576389
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,7,288,0.496528
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,8,288,0.559028
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,9,288,0.489583
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,1,288,0.486111
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,2,288,0.506944
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,3,288,0.479167
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,4,288,0.541667
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,5,288,0.493056
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,6,288,0.552083
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,7,288,0.503472
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,8,288,0.423611
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,9,288,0.46875
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,1,288,0.493056
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,2,288,0.53125
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,3,288,0.538194
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260918,4,288,0.454861
