dataset,task,model,protocol,n_subjects,n_seeds,mean_acc,ci_low,ci_high,sd_subjects,sd_across_seeds
eegbci,paradigm_mean,riemann_ts_lr,subject_disjoint,109,,0.620273,0.605936,0.634592,0.0770227,
eegbci,paradigm_mean,riemann_ts_lr,trial_random,109,,0.685487,0.668108,0.703278,0.0929491,
eegbci,paradigm_mean,riemann_ts_lr,within_subject,109,,0.706965,0.689222,0.726089,0.0982428,
eegbci,paradigm_mean,riemann_ts_lr_ztrial,run_disjoint,109,,0.673971,0.656985,0.689455,0.0881001,
eegbci,paradigm_mean,riemann_ts_lr_ztrial,subject_disjoint,109,,0.611032,0.59873,0.623213,0.0656783,
eegbci,paradigm_mean,riemann_ts_lr_ztrial,trial_random,109,,0.665393,0.649109,0.68212,0.0881198,
eegbci,paradigm_mean,shallow_fbcsp,run_disjoint,109,,0.710475,0.694733,0.725727,0.0825888,
eegbci,paradigm_mean,shallow_fbcsp,subject_disjoint,109,,0.688474,0.67315,0.704302,0.0818192,
eegbci,paradigm_mean,shallow_fbcsp,trial_random,109,,0.7101,0.693561,0.725977,0.0858618,
eegbci,paradigm_mean,shallow_fbcsp,within_subject,109,,0.586516,0.573107,0.600917,0.0724014,
eegbci,paradigm_mean,shallow_fbcsp_globalscale,run_disjoint,109,,0.72879,0.711639,0.745508,0.0917778,
eegbci,paradigm_mean,shallow_fbcsp_globalscale,subject_disjoint,109,,0.701135,0.683433,0.718516,0.092761,
eegbci,paradigm_mean,shallow_fbcsp_globalscale,trial_random,109,,0.717698,0.700989,0.734511,0.0910482,
eegbci,real_fists_feet,csp_lda,run_disjoint,109,1,0.515059,0.500437,0.530094,0.0768133,
eegbci,real_fists_feet,csp_lda,subject_disjoint,109,5,0.507244,0.498128,0.516035,0.0478104,0.00549859
eegbci,real_fists_feet,csp_lda,trial_random,109,5,0.5142,0.505587,0.523645,0.0493066,0.0063324
eegbci,real_fists_feet,csp_lda,within_subject,109,1,0.7615,0.733429,0.789873,0.150428,
eegbci,real_fists_feet,csp_lda_ztrial,run_disjoint,109,1,0.577205,0.557859,0.599074,0.114958,
eegbci,real_fists_feet,csp_lda_ztrial,subject_disjoint,109,5,0.572101,0.5558,0.589533,0.090096,0.00665966
eegbci,real_fists_feet,csp_lda_ztrial,trial_random,109,5,0.574584,0.556443,0.59384,0.101327,0.00731243
eegbci,real_fists_feet,eegnet_v4,run_disjoint,109,3,0.718056,0.696787,0.740345,0.116365,0.0202012
eegbci,real_fists_feet,eegnet_v4,subject_disjoint,109,3,0.679247,0.659252,0.70165,0.113262,0.00548876
eegbci,real_fists_feet,eegnet_v4,trial_random,109,3,0.742378,0.722116,0.763751,0.111925,0.00713594
eegbci,real_fists_feet,eegnet_v4,within_subject,109,1,0.534075,0.518536,0.551412,0.0899594,
eegbci,real_fists_feet,eegnet_v4_globalscale,run_disjoint,109,1,0.718387,0.695388,0.741925,0.125379,
eegbci,real_fists_feet,eegnet_v4_globalscale,subject_disjoint,109,1,0.673213,0.649382,0.698012,0.130252,
eegbci,real_fists_feet,eegnet_v4_globalscale,trial_random,109,1,0.720137,0.69589,0.745867,0.133455,
eegbci,real_fists_feet,riemann_ts_lr,run_disjoint,109,1,0.74506,0.720813,0.770136,0.133897,
eegbci,real_fists_feet,riemann_ts_lr,subject_disjoint,109,5,0.653214,0.631227,0.676013,0.118959,0.00419083
eegbci,real_fists_feet,riemann_ts_lr,trial_random,109,5,0.751188,0.726227,0.775259,0.130661,0.00518412
eegbci,real_fists_feet,riemann_ts_lr,within_subject,109,1,0.770353,0.744022,0.797052,0.143667,
eegbci,real_fists_feet,riemann_ts_lr_ztrial,run_disjoint,109,1,0.739358,0.71408,0.763724,0.131127,
eegbci,real_fists_feet,riemann_ts_lr_ztrial,subject_disjoint,109,5,0.654117,0.633393,0.675272,0.11316,0.0035941
eegbci,real_fists_feet,riemann_ts_lr_ztrial,trial_random,109,5,0.737167,0.711341,0.76114,0.130913,0.00369869
eegbci,real_fists_feet,shallow_fbcsp,run_disjoint,109,3,0.745121,0.724388,0.766089,0.109837,0.00170849
