task,clf,protocol,seed,fold,n_train,n_test,train_acc,test_acc
imagery_left_right_fist,knn,subject_disjoint,20260916,subj0,3242,1656,0.740284,0.510266
imagery_left_right_fist,mdm,subject_disjoint,20260916,subj0,3242,1656,0.512338,0.524758
imagery_left_right_fist,lr,subject_disjoint,20260916,subj1,3280,1618,0.953659,0.563659
imagery_left_right_fist,slda,subject_disjoint,20260916,subj1,3280,1618,0.923171,0.566131
imagery_left_right_fist,linsvm,subject_disjoint,20260916,subj1,3280,1618,1,0.557478
imagery_left_right_fist,ridge,subject_disjoint,20260916,subj1,3280,1618,0.95061,0.553152
imagery_left_right_fist,knn,subject_disjoint,20260916,subj1,3280,1618,0.728659,0.522868
imagery_left_right_fist,mdm,subject_disjoint,20260916,subj1,3280,1618,0.509146,0.509271
imagery_left_right_fist,lr,subject_disjoint,20260916,subj2,3274,1624,0.946854,0.605911
imagery_left_right_fist,slda,subject_disjoint,20260916,subj2,3274,1624,0.915089,0.600985
imagery_left_right_fist,linsvm,subject_disjoint,20260916,subj2,3274,1624,0.998167,0.592365
imagery_left_right_fist,ridge,subject_disjoint,20260916,subj2,3274,1624,0.945327,0.59298
imagery_left_right_fist,knn,subject_disjoint,20260916,subj2,3274,1624,0.731521,0.530788
imagery_left_right_fist,mdm,subject_disjoint,20260916,subj2,3274,1624,0.515883,0.500616
imagery_left_right_fist,lr,subject_disjoint,20260917,subj0,3224,1674,0.941687,0.613501
imagery_left_right_fist,slda,subject_disjoint,20260917,subj0,3224,1674,0.913462,0.603345
imagery_left_right_fist,linsvm,subject_disjoint,20260917,subj0,3224,1674,1,0.594385
imagery_left_right_fist,ridge,subject_disjoint,20260917,subj0,3224,1674,0.940447,0.587216
imagery_left_right_fist,knn,subject_disjoint,20260917,subj0,3224,1674,0.73232,0.516129
imagery_left_right_fist,mdm,subject_disjoint,20260917,subj0,3224,1674,0.512407,0.51374
imagery_left_right_fist,lr,subject_disjoint,20260917,subj1,3287,1611,0.953149,0.597145
imagery_left_right_fist,slda,subject_disjoint,20260917,subj1,3287,1611,0.914512,0.592179
imagery_left_right_fist,linsvm,subject_disjoint,20260917,subj1,3287,1611,0.999696,0.580385
imagery_left_right_fist,ridge,subject_disjoint,20260917,subj1,3287,1611,0.948585,0.570453
imagery_left_right_fist,knn,subject_disjoint,20260917,subj1,3287,1611,0.730758,0.514587
imagery_left_right_fist,mdm,subject_disjoint,20260917,subj1,3287,1611,0.517493,0.504655
imagery_left_right_fist,lr,subject_disjoint,20260917,subj2,3285,1613,0.952207,0.606324
imagery_left_right_fist,slda,subject_disjoint,20260917,subj2,3285,1613,0.923896,0.595164
imagery_left_right_fist,linsvm,subject_disjoint,20260917,subj2,3285,1613,0.998478,0.577185
imagery_left_right_fist,ridge,subject_disjoint,20260917,subj2,3285,1613,0.951903,0.580905
imagery_left_right_fist,knn,subject_disjoint,20260917,subj2,3285,1613,0.736073,0.522009
imagery_left_right_fist,mdm,subject_disjoint,20260917,subj2,3285,1613,0.509589,0.510229
imagery_left_right_fist,lr,subject_disjoint,20260918,subj0,3227,1671,0.951348,0.593656
imagery_left_right_fist,slda,subject_disjoint,20260918,subj0,3227,1671,0.920669,0.602633
imagery_left_right_fist,linsvm,subject_disjoint,20260918,subj0,3227,1671,1,0.591263
imagery_left_right_fist,ridge,subject_disjoint,20260918,subj0,3227,1671,0.950418,0.582286
imagery_left_right_fist,knn,subject_disjoint,20260918,subj0,3227,1671,0.740626,0.501496
imagery_left_right_fist,mdm,subject_disjoint,20260918,subj0,3227,1671,0.519678,0.51526
imagery_left_right_fist,lr,subject_disjoint,20260918,subj1,3288,1610,0.945864,0.603727
imagery_left_right_fist,slda,subject_disjoint,20260918,subj1,3288,1610,0.918187,0.59441
imagery_left_right_fist,linsvm,subject_disjoint,20260918,subj1,3288,1610,0.998479,0.581366
imagery_left_right_fist,ridge,subject_disjoint,20260918,subj1,3288,1610,0.949818,0.591925
imagery_left_right_fist,knn,subject_disjoint,20260918,subj1,3288,1610,0.725669,0.517391
imagery_left_right_fist,mdm,subject_disjoint,20260918,subj1,3288,1610,0.511861,0.507453
imagery_left_right_fist,lr,subject_disjoint,20260918,subj2,3281,1617,0.956721,0.596166
imagery_left_right_fist,slda,subject_disjoint,20260918,subj2,3281,1617,0.925328,0.57081
imagery_left_right_fist,linsvm,subject_disjoint,20260918,subj2,3281,1617,0.998781,0.580087
imagery_left_right_fist,ridge,subject_disjoint,20260918,subj2,3281,1617,0.953673,0.555968
imagery_left_right_fist,knn,subject_disjoint,20260918,subj2,3281,1617,0.733923,0.506494
imagery_left_right_fist,mdm,subject_disjoint,20260918,subj2,3281,1617,0.51021,0.515152
imagery_left_right_fist,lr,subject_disjoint,20260919,subj0,3242,1656,0.951265,0.592995
imagery_left_right_fist,slda,subject_disjoint,20260919,subj0,3242,1656,0.923196,0.599034
imagery_left_right_fist,linsvm,subject_disjoint,20260919,subj0,3242,1656,0.999383,0.583937
imagery_left_right_fist,ridge,subject_disjoint,20260919,subj0,3242,1656,0.951882,0.557367
imagery_left_right_fist,knn,subject_disjoint,20260919,subj0,3242,1656,0.722394,0.507246
imagery_left_right_fist,mdm,subject_disjoint,20260919,subj0,3242,1656,0.515423,0.510266
imagery_left_right_fist,lr,subject_disjoint,20260919,subj1,3264,1634,0.949449,0.588739
imagery_left_right_fist,slda,subject_disjoint,20260919,subj1,3264,1634,0.921875,0.596083
imagery_left_right_fist,linsvm,subject_disjoint,20260919,subj1,3264,1634,0.999694,0.569767
imagery_left_right_fist,ridge,subject_disjoint,20260919,subj1,3264,1634,0.950674,0.567931
imagery_left_right_fist,knn,subject_disjoint,20260919,subj1,3264,1634,0.727635,0.520808
imagery_left_right_fist,mdm,subject_disjoint,20260919,subj1,3264,1634,0.516238,0.508568
imagery_left_right_fist,lr,subject_disjoint,20260919,subj2,3290,1608,0.948936,0.587687
imagery_left_right_fist,slda,subject_disjoint,20260919,subj2,3290,1608,0.920669,0.58209
imagery_left_right_fist,linsvm,subject_disjoint,20260919,subj2,3290,1608,0.999392,0.565299
imagery_left_right_fist,ridge,subject_disjoint,20260919,subj2,3290,1608,0.94924,0.577736
imagery_left_right_fist,knn,subject_disjoint,20260919,subj2,3290,1608,0.750152,0.5
imagery_left_right_fist,mdm,subject_disjoint,20260919,subj2,3290,1608,0.507295,0.506219
imagery_left_right_fist,lr,subject_disjoint,20260920,subj0,3243,1655,0.952205,0.603021
imagery_left_right_fist,slda,subject_disjoint,20260920,subj0,3243,1655,0.922603,0.589728
imagery_left_right_fist,linsvm,subject_disjoint,20260920,subj0,3243,1655,0.999075,0.578248
imagery_left_right_fist,ridge,subject_disjoint,20260920,subj0,3243,1655,0.952821,0.565559
imagery_left_right_fist,knn,subject_disjoint,20260920,subj0,3243,1655,0.739747,0.515408
imagery_left_right_fist,mdm,subject_disjoint,20260920,subj0,3243,1655,0.507246,0.511178
imagery_left_right_fist,lr,subject_disjoint,20260920,subj1,3276,1622,0.95177,0.611591
imagery_left_right_fist,slda,subject_disjoint,20260920,subj1,3276,1622,0.921551,0.599877
imagery_left_right_fist,linsvm,subject_disjoint,20260920,subj1,3276,1622,0.999389,0.588163
imagery_left_right_fist,ridge,subject_disjoint,20260920,subj1,3276,1622,0.94536,0.586313
imagery_left_right_fist,knn,subject_disjoint,20260920,subj1,3276,1622,0.730159,0.511714
imagery_left_right_fist,mdm,subject_disjoint,20260920,subj1,3276,1622,0.5116,0.509864
imagery_left_right_fist,lr,subject_disjoint,20260920,subj2,3277,1621,0.947818,0.619371
imagery_left_right_fist,slda,subject_disjoint,20260920,subj2,3277,1621,0.916692,0.603331
imagery_left_right_fist,linsvm,subject_disjoint,20260920,subj2,3277,1621,0.997559,0.58359
imagery_left_right_fist,ridge,subject_disjoint,20260920,subj2,3277,1621,0.94263,0.586675
imagery_left_right_fist,knn,subject_disjoint,20260920,subj2,3277,1621,0.729936,0.513263
imagery_left_right_fist,mdm,subject_disjoint,20260920,subj2,3277,1621,0.516326,0.508328
real_left_right_fist,lr,trial_random,20260916,trial0,3264,1633,0.974571,0.695652
real_left_right_fist,slda,trial_random,20260916,trial0,3264,1633,0.943934,0.651562
real_left_right_fist,linsvm,trial_random,20260916,trial0,3264,1633,1,0.666258
real_left_right_fist,ridge,trial_random,20260916,trial0,3264,1633,0.969669,0.647887
real_left_right_fist,knn,trial_random,20260916,trial0,3264,1633,0.729779,0.512554
real_left_right_fist,mdm,trial_random,20260916,trial0,3264,1633,0.51777,0.498469
real_left_right_fist,lr,trial_random,20260916,trial1,3265,1632,0.975191,0.70098
real_left_right_fist,slda,trial_random,20260916,trial1,3265,1632,0.948239,0.653799
real_left_right_fist,linsvm,trial_random,20260916,trial1,3265,1632,1,0.662377
real_left_right_fist,ridge,trial_random,20260916,trial1,3265,1632,0.971516,0.628676
real_left_right_fist,knn,trial_random,20260916,trial1,3265,1632,0.725574,0.516544
real_left_right_fist,mdm,trial_random,20260916,trial1,3265,1632,0.520674,0.5
real_left_right_fist,lr,trial_random,20260916,trial2,3265,1632,0.973354,0.698529
real_left_right_fist,slda,trial_random,20260916,trial2,3265,1632,0.944257,0.660539
real_left_right_fist,linsvm,trial_random,20260916,trial2,3265,1632,1,0.670956
real_left_right_fist,ridge,trial_random,20260916,trial2,3265,1632,0.971822,0.645833
real_left_right_fist,knn,trial_random,20260916,trial2,3265,1632,0.726493,0.495098
real_left_right_fist,mdm,trial_random,20260916,trial2,3265,1632,0.50781,0.490196
real_left_right_fist,lr,trial_random,20260917,trial0,3264,1633,0.969056,0.719535
real_left_right_fist,slda,trial_random,20260917,trial0,3264,1633,0.939032,0.673607
real_left_right_fist,linsvm,trial_random,20260917,trial0,3264,1633,1,0.685242
real_left_right_fist,ridge,trial_random,20260917,trial0,3264,1633,0.963542,0.654011
real_left_right_fist,knn,trial_random,20260917,trial0,3264,1633,0.727328,0.489896
real_left_right_fist,mdm,trial_random,20260917,trial0,3264,1633,0.51685,0.505818
real_left_right_fist,lr,trial_random,20260917,trial1,3265,1632,0.973354,0.709559
real_left_right_fist,slda,trial_random,20260917,trial1,3265,1632,0.934456,0.674632
real_left_right_fist,linsvm,trial_random,20260917,trial1,3265,1632,1,0.68076
real_left_right_fist,ridge,trial_random,20260917,trial1,3265,1632,0.964165,0.647672
real_left_right_fist,knn,trial_random,20260917,trial1,3265,1632,0.719755,0.487132
real_left_right_fist,mdm,trial_random,20260917,trial1,3265,1632,0.521899,0.477941
real_left_right_fist,lr,trial_random,20260917,trial2,3265,1632,0.968147,0.721201
real_left_right_fist,slda,trial_random,20260917,trial2,3265,1632,0.941501,0.67402
real_left_right_fist,linsvm,trial_random,20260917,trial2,3265,1632,1,0.688113
real_left_right_fist,ridge,trial_random,20260917,trial2,3265,1632,0.963553,0.653799
real_left_right_fist,knn,trial_random,20260917,trial2,3265,1632,0.726493,0.521446
real_left_right_fist,mdm,trial_random,20260917,trial2,3265,1632,0.513017,0.473039
