task,protocol,seed,fold,C,n_train,n_test,train_acc,test_acc,w_norm,n_iter
imagery_left_right_fist,trial_random,20260920,trial2,0.01,3266,1632,0.75199,0.647059,1.61578,34
imagery_left_right_fist,trial_random,20260920,trial2,0.1,3266,1632,0.859461,0.670343,7.02005,111
imagery_left_right_fist,trial_random,20260920,trial2,1.0,3266,1632,0.945805,0.64277,22.9055,223
imagery_left_right_fist,trial_random,20260920,trial2,10.0,3266,1632,0.999694,0.621324,63.9171,410
imagery_left_right_fist,trial_random,20260920,trial2,100.0,3266,1632,1,0.619485,129.21,441
imagery_left_right_fist,trial_random,20260920,trial2,1000.0,3266,1632,1,0.622549,244.473,205
imagery_left_right_fist,run_disjoint,20260916,run0,0.0001,3262,1636,0.580319,0.567237,0.0286806,10
imagery_left_right_fist,run_disjoint,20260916,run0,0.001,3262,1636,0.648069,0.620416,0.242955,17
imagery_left_right_fist,run_disjoint,20260916,run0,0.01,3262,1636,0.755671,0.675428,1.60337,36
imagery_left_right_fist,run_disjoint,20260916,run0,0.1,3262,1636,0.856836,0.680318,6.95078,103
imagery_left_right_fist,run_disjoint,20260916,run0,1.0,3262,1636,0.952177,0.642421,23.0198,258
imagery_left_right_fist,run_disjoint,20260916,run0,10.0,3262,1636,1,0.611247,64.2345,446
imagery_left_right_fist,run_disjoint,20260916,run0,100.0,3262,1636,1,0.606357,131.315,494
imagery_left_right_fist,run_disjoint,20260916,run0,1000.0,3262,1636,1,0.613692,250.878,292
imagery_left_right_fist,run_disjoint,20260916,run1,0.0001,3269,1629,0.572346,0.573972,0.0296246,10
imagery_left_right_fist,run_disjoint,20260916,run1,0.001,3269,1629,0.650046,0.614487,0.247754,12
imagery_left_right_fist,run_disjoint,20260916,run1,0.01,3269,1629,0.75803,0.662983,1.63271,28
imagery_left_right_fist,run_disjoint,20260916,run1,0.1,3269,1629,0.866014,0.682627,7.02905,93
imagery_left_right_fist,run_disjoint,20260916,run1,1.0,3269,1629,0.944325,0.655617,22.7042,247
imagery_left_right_fist,run_disjoint,20260916,run1,10.0,3269,1629,0.997859,0.623082,63.5001,394
imagery_left_right_fist,run_disjoint,20260916,run1,100.0,3269,1629,1,0.618785,131.752,489
imagery_left_right_fist,run_disjoint,20260916,run1,1000.0,3269,1629,1,0.620012,269.645,276
imagery_left_right_fist,run_disjoint,20260916,run2,0.0001,3265,1633,0.579173,0.568892,0.0288486,10
imagery_left_right_fist,run_disjoint,20260916,run2,0.001,3265,1633,0.649923,0.614819,0.244381,13
imagery_left_right_fist,run_disjoint,20260916,run2,0.01,3265,1633,0.759877,0.687079,1.62005,41
imagery_left_right_fist,run_disjoint,20260916,run2,0.1,3265,1633,0.863706,0.689528,7.03016,105
imagery_left_right_fist,run_disjoint,20260916,run2,1.0,3265,1633,0.949464,0.661359,22.8891,258
imagery_left_right_fist,run_disjoint,20260916,run2,10.0,3265,1633,0.998775,0.641764,63.414,485
imagery_left_right_fist,run_disjoint,20260916,run2,100.0,3265,1633,1,0.639314,130.003,416
imagery_left_right_fist,run_disjoint,20260916,run2,1000.0,3265,1633,1,0.642376,226.343,249
imagery_left_right_fist,subject_disjoint,20260916,subj0,0.0001,3242,1656,0.575879,0.58756,0.0301622,10
imagery_left_right_fist,subject_disjoint,20260916,subj0,0.001,3242,1656,0.659161,0.589976,0.260044,10
imagery_left_right_fist,subject_disjoint,20260916,subj0,0.01,3242,1656,0.768044,0.6093,1.66998,32
imagery_left_right_fist,subject_disjoint,20260916,subj0,0.1,3242,1656,0.866132,0.603865,6.9494,78
imagery_left_right_fist,subject_disjoint,20260916,subj0,1.0,3242,1656,0.947563,0.610507,22.6833,228
imagery_left_right_fist,subject_disjoint,20260916,subj0,10.0,3242,1656,0.999075,0.592995,63.0819,386
imagery_left_right_fist,subject_disjoint,20260916,subj0,100.0,3242,1656,1,0.58756,128.536,492
imagery_left_right_fist,subject_disjoint,20260916,subj0,1000.0,3242,1656,1,0.604469,222.611,276
imagery_left_right_fist,subject_disjoint,20260916,subj1,0.0001,3280,1618,0.590549,0.548826,0.0303016,10
imagery_left_right_fist,subject_disjoint,20260916,subj1,0.001,3280,1618,0.659756,0.584672,0.259002,17
imagery_left_right_fist,subject_disjoint,20260916,subj1,0.01,3280,1618,0.780488,0.601978,1.70262,32
imagery_left_right_fist,subject_disjoint,20260916,subj1,0.1,3280,1618,0.866463,0.588999,7.14309,105
imagery_left_right_fist,subject_disjoint,20260916,subj1,1.0,3280,1618,0.953659,0.563659,22.8321,192
imagery_left_right_fist,subject_disjoint,20260916,subj1,10.0,3280,1618,1,0.55686,61.9334,430
imagery_left_right_fist,subject_disjoint,20260916,subj1,100.0,3280,1618,1,0.560569,121.377,419
imagery_left_right_fist,subject_disjoint,20260916,subj1,1000.0,3280,1618,1,0.567985,241.299,211
imagery_left_right_fist,subject_disjoint,20260916,subj2,0.0001,3274,1624,0.564753,0.551724,0.0275314,11
imagery_left_right_fist,subject_disjoint,20260916,subj2,0.001,3274,1624,0.653329,0.599138,0.233471,12
imagery_left_right_fist,subject_disjoint,20260916,subj2,0.01,3274,1624,0.763592,0.628079,1.60114,32
imagery_left_right_fist,subject_disjoint,20260916,subj2,0.1,3274,1624,0.854612,0.631773,6.99354,133
imagery_left_right_fist,subject_disjoint,20260916,subj2,1.0,3274,1624,0.946854,0.605911,22.7882,258
imagery_left_right_fist,subject_disjoint,20260916,subj2,10.0,3274,1624,0.999389,0.594828,64.3479,475
imagery_left_right_fist,subject_disjoint,20260916,subj2,100.0,3274,1624,1,0.597291,133.575,511
imagery_left_right_fist,subject_disjoint,20260916,subj2,1000.0,3274,1624,1,0.600369,230.59,327
imagery_left_right_fist,subject_disjoint,20260917,subj0,0.0001,3224,1674,0.573201,0.571087,0.0280365,10
imagery_left_right_fist,subject_disjoint,20260917,subj0,0.001,3224,1674,0.653226,0.611111,0.237609,14
imagery_left_right_fist,subject_disjoint,20260917,subj0,0.01,3224,1674,0.764268,0.619474,1.59775,33
imagery_left_right_fist,subject_disjoint,20260917,subj0,0.1,3224,1674,0.865695,0.620072,6.94699,101
imagery_left_right_fist,subject_disjoint,20260917,subj0,1.0,3224,1674,0.941687,0.613501,22.5633,257
imagery_left_right_fist,subject_disjoint,20260917,subj0,10.0,3224,1674,0.99969,0.596774,63.7938,486
imagery_left_right_fist,subject_disjoint,20260917,subj0,100.0,3224,1674,1,0.597372,131.726,503
imagery_left_right_fist,subject_disjoint,20260917,subj0,1000.0,3224,1674,1,0.603943,212.647,265
imagery_left_right_fist,subject_disjoint,20260917,subj1,0.0001,3287,1611,0.594159,0.558659,0.0290779,9
imagery_left_right_fist,subject_disjoint,20260917,subj1,0.001,3287,1611,0.648616,0.615767,0.248613,9
imagery_left_right_fist,subject_disjoint,20260917,subj1,0.01,3287,1611,0.771524,0.623836,1.66506,31
imagery_left_right_fist,subject_disjoint,20260917,subj1,0.1,3287,1611,0.870094,0.623836,7.10798,94
