task,protocol,seed,fold,metric,value,n,note
imagery_left_right_fist,subject_disjoint,20260920,subj2,abs_cos_w_d_global,0.392993,73,
imagery_left_right_fist,subject_disjoint,20260920,subj2,fraction_w_in_span_all_d_s,0.467479,73,
imagery_left_right_fist,subject_disjoint,20260920,subj2,fraction_w_in_span_train_d_s,0.413477,73,
real_left_right_fist,descriptive,,,mean_pairwise_abs_cos_d_s,0.0794357,11772,mean |cos| between subject-specific class-separation directions (off-diagonal pairs)
real_left_right_fist,descriptive,,,mean_abs_cos_d_s_d_global,0.264194,109,mean |cos| between each subject's direction and the global class direction
real_left_right_fist,descriptive,,,random_direction_fraction_in_span,0.0524038,109,expected ||proj||^2/||w||^2 of a random direction (k/D)
real_left_right_fist,trial_random,20260916,trial0,mean_abs_cos_w_d_s_train_subjects,0.123641,109,
real_left_right_fist,trial_random,20260916,trial0,mean_abs_cos_w_d_s_test_subjects,0.123641,109,
real_left_right_fist,trial_random,20260916,trial0,abs_cos_w_d_global,0.451049,109,
real_left_right_fist,trial_random,20260916,trial0,fraction_w_in_span_all_d_s,0.326497,109,
real_left_right_fist,trial_random,20260916,trial0,fraction_w_in_span_train_d_s,0.326497,109,
real_left_right_fist,trial_random,20260916,trial1,mean_abs_cos_w_d_s_train_subjects,0.122581,109,
real_left_right_fist,trial_random,20260916,trial1,mean_abs_cos_w_d_s_test_subjects,0.122581,109,
real_left_right_fist,trial_random,20260916,trial1,abs_cos_w_d_global,0.448363,109,
real_left_right_fist,trial_random,20260916,trial1,fraction_w_in_span_all_d_s,0.324289,109,
real_left_right_fist,trial_random,20260916,trial1,fraction_w_in_span_train_d_s,0.324289,109,
real_left_right_fist,trial_random,20260916,trial2,mean_abs_cos_w_d_s_train_subjects,0.12141,109,
real_left_right_fist,trial_random,20260916,trial2,mean_abs_cos_w_d_s_test_subjects,0.12141,109,
real_left_right_fist,trial_random,20260916,trial2,abs_cos_w_d_global,0.444901,109,
real_left_right_fist,trial_random,20260916,trial2,fraction_w_in_span_all_d_s,0.323819,109,
real_left_right_fist,trial_random,20260916,trial2,fraction_w_in_span_train_d_s,0.323819,109,
real_left_right_fist,trial_random,20260917,trial0,mean_abs_cos_w_d_s_train_subjects,0.124917,109,
real_left_right_fist,trial_random,20260917,trial0,mean_abs_cos_w_d_s_test_subjects,0.124917,109,
real_left_right_fist,trial_random,20260917,trial0,abs_cos_w_d_global,0.45677,109,
