task,model,k,draw,subject,n_test,accuracy
imagery_left_right_fist,csp_lda,16,2,41,15,0.733333
imagery_left_right_fist,csp_lda,30,2,41,15,0.733333
imagery_left_right_fist,csp_lda,0,0,45,15,0.466667
imagery_left_right_fist,csp_lda,4,0,45,15,0.466667
imagery_left_right_fist,csp_lda,8,0,45,15,0.466667
imagery_left_right_fist,csp_lda,16,0,45,15,0.466667
imagery_left_right_fist,csp_lda,30,0,45,15,0.466667
imagery_left_right_fist,csp_lda,4,1,45,15,0.466667
imagery_left_right_fist,csp_lda,8,1,45,15,0.466667
imagery_left_right_fist,csp_lda,16,1,45,15,0.466667
imagery_left_right_fist,csp_lda,30,1,45,15,0.466667
imagery_left_right_fist,csp_lda,4,2,45,15,0.466667
imagery_left_right_fist,csp_lda,8,2,45,15,0.466667
imagery_left_right_fist,csp_lda,16,2,45,15,0.466667
imagery_left_right_fist,csp_lda,30,2,45,15,0.466667
imagery_left_right_fist,csp_lda,0,0,50,15,0.733333
imagery_left_right_fist,csp_lda,4,0,50,15,0.733333
imagery_left_right_fist,csp_lda,8,0,50,15,0.733333
imagery_left_right_fist,csp_lda,16,0,50,15,0.733333
imagery_left_right_fist,csp_lda,30,0,50,15,0.733333
imagery_left_right_fist,csp_lda,4,1,50,15,0.733333
imagery_left_right_fist,csp_lda,8,1,50,15,0.733333
imagery_left_right_fist,csp_lda,16,1,50,15,0.733333
imagery_left_right_fist,csp_lda,30,1,50,15,0.733333
imagery_left_right_fist,csp_lda,4,2,50,15,0.733333
imagery_left_right_fist,csp_lda,8,2,50,15,0.733333
imagery_left_right_fist,csp_lda,16,2,50,15,0.733333
imagery_left_right_fist,csp_lda,30,2,50,15,0.733333
imagery_left_right_fist,csp_lda,0,0,51,15,0.533333
imagery_left_right_fist,csp_lda,4,0,51,15,0.533333
imagery_left_right_fist,csp_lda,8,0,51,15,0.533333
imagery_left_right_fist,csp_lda,16,0,51,15,0.533333
imagery_left_right_fist,csp_lda,30,0,51,15,0.533333
imagery_left_right_fist,csp_lda,4,1,51,15,0.533333
imagery_left_right_fist,csp_lda,8,1,51,15,0.533333
imagery_left_right_fist,csp_lda,16,1,51,15,0.533333
imagery_left_right_fist,csp_lda,30,1,51,15,0.533333
imagery_left_right_fist,csp_lda,4,2,51,15,0.533333
imagery_left_right_fist,csp_lda,8,2,51,15,0.533333
imagery_left_right_fist,csp_lda,16,2,51,15,0.533333
imagery_left_right_fist,csp_lda,30,2,51,15,0.533333
imagery_left_right_fist,csp_lda,0,0,55,15,0.8
imagery_left_right_fist,csp_lda,4,0,55,15,0.8
imagery_left_right_fist,csp_lda,8,0,55,15,0.8
imagery_left_right_fist,csp_lda,16,0,55,15,0.8
imagery_left_right_fist,csp_lda,30,0,55,15,0.8
imagery_left_right_fist,csp_lda,4,1,55,15,0.8
imagery_left_right_fist,csp_lda,8,1,55,15,0.8
imagery_left_right_fist,csp_lda,16,1,55,15,0.8
imagery_left_right_fist,csp_lda,30,1,55,15,0.8
imagery_left_right_fist,csp_lda,4,2,55,15,0.8
imagery_left_right_fist,csp_lda,8,2,55,15,0.8
imagery_left_right_fist,csp_lda,16,2,55,15,0.8
imagery_left_right_fist,csp_lda,30,2,55,15,0.8
imagery_left_right_fist,csp_lda,0,0,59,15,0.533333
imagery_left_right_fist,csp_lda,4,0,59,15,0.533333
imagery_left_right_fist,csp_lda,8,0,59,15,0.533333
imagery_left_right_fist,csp_lda,16,0,59,15,0.533333
imagery_left_right_fist,csp_lda,30,0,59,15,0.533333
imagery_left_right_fist,csp_lda,4,1,59,15,0.533333
imagery_left_right_fist,csp_lda,8,1,59,15,0.533333
imagery_left_right_fist,csp_lda,16,1,59,15,0.533333
imagery_left_right_fist,csp_lda,30,1,59,15,0.533333
