dataset,task,model,contrast,protocol_a,protocol_b,n,mean_a,mean_b,mean_diff,ci_low,ci_high,wilcoxon_W,p_wilcoxon,p_signflip,n_positive,n_negative,p_holm,family
eegbci,real_fists_feet,csp_lda,subject_overlap_component,run_disjoint,subject_disjoint,109,0.515059,0.507244,0.00781522,-0.00610261,0.0225859,2596.5,0.451266,0.290171,54,52,1,eegbci/real_fists_feet
eegbci,real_fists_feet,csp_lda,run_temporal_component,trial_random,run_disjoint,109,0.5142,0.515059,-0.000858723,-0.0126651,0.0110498,2924.5,0.95478,0.888711,53,55,1,eegbci/real_fists_feet
eegbci,real_fists_feet,csp_lda,delta_leak_original_definition,trial_random,subject_disjoint,109,0.5142,0.507244,0.00695649,-0.00158493,0.0161891,2447,0.283475,0.127287,53,52,1,eegbci/real_fists_feet
eegbci,real_fists_feet,csp_lda,calibration_gap,within_subject,subject_disjoint,109,0.7615,0.507244,0.254256,0.225322,0.283999,41,3.95319e-19,9.999e-05,104,5,5.53447e-18,eegbci/real_fists_feet
eegbci,real_fists_feet,eegnet_v4_globalscale,subject_overlap_component,run_disjoint,subject_disjoint,109,0.718387,0.673213,0.0451743,0.0241572,0.0672111,1378,7.94865e-05,9.999e-05,68,32,0.000556406,eegbci/real_fists_feet
eegbci,real_fists_feet,eegnet_v4_globalscale,run_temporal_component,trial_random,run_disjoint,109,0.720137,0.718387,0.00174976,-0.013235,0.0159313,2117,0.792771,0.815318,51,42,1,eegbci/real_fists_feet
eegbci,real_fists_feet,eegnet_v4_globalscale,delta_leak_original_definition,trial_random,subject_disjoint,109,0.720137,0.673213,0.046924,0.0261499,0.0671723,1501,6.69751e-05,9.999e-05,70,34,0.000535801,eegbci/real_fists_feet
eegbci,real_fists_feet,riemann_ts_lr,subject_overlap_component,run_disjoint,subject_disjoint,109,0.74506,0.653214,0.0918462,0.0742542,0.110033,346,1.09095e-15,9.999e-05,94,15,1.30914e-14,eegbci/real_fists_feet
eegbci,real_fists_feet,riemann_ts_lr,run_temporal_component,trial_random,run_disjoint,109,0.751188,0.74506,0.00612823,-0.00285636,0.0150988,2640.5,0.280449,0.20088,54,55,1,eegbci/real_fists_feet
eegbci,real_fists_feet,riemann_ts_lr,delta_leak_original_definition,trial_random,subject_disjoint,109,0.751188,0.653214,0.0979744,0.0810586,0.114266,174.5,1.40548e-17,9.999e-05,97,12,1.82712e-16,eegbci/real_fists_feet
eegbci,real_fists_feet,riemann_ts_lr,calibration_gap,within_subject,subject_disjoint,109,0.770353,0.653214,0.117139,0.0926107,0.14343,667.5,1.86531e-12,9.999e-05,87,22,2.05184e-11,eegbci/real_fists_feet
eegbci,real_fists_feet,shallow_fbcsp_globalscale,subject_overlap_component,run_disjoint,subject_disjoint,109,0.770973,0.719969,0.0510041,0.0334373,0.0681118,807,5.91711e-07,9.999e-05,66,24,5.91711e-06,eegbci/real_fists_feet
eegbci,real_fists_feet,shallow_fbcsp_globalscale,run_temporal_component,trial_random,run_disjoint,109,0.7687,0.770973,-0.0022736,-0.0146519,0.0109084,2337.5,0.888263,0.727327,52,45,1,eegbci/real_fists_feet
eegbci,real_fists_feet,shallow_fbcsp_globalscale,delta_leak_original_definition,trial_random,subject_disjoint,109,0.7687,0.719969,0.0487306,0.0294568,0.0691537,1165.5,7.92473e-06,9.999e-05,66,32,7.13225e-05,eegbci/real_fists_feet
eegbci,real_left_right_fist,csp_lda,subject_overlap_component,run_disjoint,subject_disjoint,109,0.589439,0.580865,0.0085749,-0.00400642,0.0212908,2551.5,0.460225,0.183782,49,56,1,eegbci/real_left_right_fist
eegbci,real_left_right_fist,csp_lda,run_temporal_component,trial_random,run_disjoint,109,0.554777,0.589439,-0.0346627,-0.0463381,-0.0227252,1271.5,3.0007e-07,9.999e-05,32,76,3.0007e-06,eegbci/real_left_right_fist
eegbci,real_left_right_fist,csp_lda,delta_leak_original_definition,trial_random,subject_disjoint,109,0.554777,0.580865,-0.0260878,-0.0332434,-0.0184583,1035.5,5.00624e-09,9.999e-05,27,81,6.00748e-08,eegbci/real_left_right_fist
eegbci,real_left_right_fist,csp_lda,calibration_gap,within_subject,subject_disjoint,109,0.653327,0.580865,0.0724624,0.0508705,0.0958951,1206,1.01413e-07,9.999e-05,73,35,1.11554e-06,eegbci/real_left_right_fist
eegbci,real_left_right_fist,eegnet_v4_globalscale,subject_overlap_component,run_disjoint,subject_disjoint,109,0.805866,0.79265,0.0132154,-0.00114635,0.0278294,1618,0.156766,0.0931907,46,42,0.940594,eegbci/real_left_right_fist
eegbci,real_left_right_fist,eegnet_v4_globalscale,run_temporal_component,trial_random,run_disjoint,109,0.805556,0.805866,-0.000309807,-0.0104865,0.00991254,1756,0.896916,0.956004,41,43,1,eegbci/real_left_right_fist
eegbci,real_left_right_fist,eegnet_v4_globalscale,delta_leak_original_definition,trial_random,subject_disjoint,109,0.805556,0.79265,0.0129056,-0.00289415,0.0284746,2093,0.390045,0.0989901,51,45,1,eegbci/real_left_right_fist
eegbci,real_left_right_fist,riemann_ts_lr,subject_overlap_component,run_disjoint,subject_disjoint,109,0.710297,0.640728,0.0695694,0.0537836,0.0856455,668.5,1.90613e-12,9.999e-05,89,20,2.47797e-11,eegbci/real_left_right_fist
eegbci,real_left_right_fist,riemann_ts_lr,run_temporal_component,trial_random,run_disjoint,109,0.712923,0.710297,0.00262508,-0.00706385,0.0119365,2721.5,0.497178,0.60464,52,56,1,eegbci/real_left_right_fist
eegbci,real_left_right_fist,riemann_ts_lr,delta_leak_original_definition,trial_random,subject_disjoint,109,0.712923,0.640728,0.0721944,0.0575603,0.0879444,357,1.42851e-15,9.999e-05,94,15,1.99992e-14,eegbci/real_left_right_fist
eegbci,real_left_right_fist,riemann_ts_lr,calibration_gap,within_subject,subject_disjoint,109,0.694407,0.640728,0.0536785,0.0278786,0.079157,1807,0.000319214,9.999e-05,68,41,0.00287293,eegbci/real_left_right_fist
eegbci,real_left_right_fist,shallow_fbcsp_globalscale,subject_overlap_component,run_disjoint,subject_disjoint,109,0.734114,0.72646,0.00765349,-0.00816373,0.024681,2322,0.844415,0.353865,50,47,1,eegbci/real_left_right_fist
eegbci,real_left_right_fist,shallow_fbcsp_globalscale,run_temporal_component,trial_random,run_disjoint,109,0.712485,0.734114,-0.0216289,-0.0349517,-0.0079046,1594.5,0.00320738,0.00189981,37,61,0.025659,eegbci/real_left_right_fist
eegbci,real_left_right_fist,shallow_fbcsp_globalscale,delta_leak_original_definition,trial_random,subject_disjoint,109,0.712485,0.72646,-0.0139754,-0.0294744,0.00204061,1846,0.0280482,0.0833917,39,60,0.196337,eegbci/real_left_right_fist
