dataset,task,model,protocol,seed,fold,n_train,n_test,train_acc,test_acc
eegbci,real_left_right_fist,riemann_ts_lr,subject_disjoint,20260918,subj2,3270,1627,0.9737,0.616472
eegbci,real_left_right_fist,csp_lda,subject_disjoint,20260919,subj0,3244,1653,0.633169,0.61827
eegbci,real_left_right_fist,riemann_ts_lr,subject_disjoint,20260919,subj0,3244,1653,0.967633,0.635814
eegbci,real_left_right_fist,csp_lda,subject_disjoint,20260919,subj1,3258,1639,0.649478,0.61928
eegbci,real_left_right_fist,riemann_ts_lr,subject_disjoint,20260919,subj1,3258,1639,0.966851,0.625991
eegbci,real_left_right_fist,csp_lda,subject_disjoint,20260919,subj2,3292,1605,0.61938,0.585047
eegbci,real_left_right_fist,riemann_ts_lr,subject_disjoint,20260919,subj2,3292,1605,0.967801,0.606231
eegbci,real_left_right_fist,csp_lda,subject_disjoint,20260920,subj0,3237,1660,0.620327,0.593976
eegbci,real_left_right_fist,riemann_ts_lr,subject_disjoint,20260920,subj0,3237,1660,0.973123,0.621687
eegbci,real_left_right_fist,csp_lda,subject_disjoint,20260920,subj1,3280,1617,0.608537,0.626469
eegbci,real_left_right_fist,riemann_ts_lr,subject_disjoint,20260920,subj1,3280,1617,0.960976,0.651206
eegbci,real_left_right_fist,csp_lda,subject_disjoint,20260920,subj2,3277,1620,0.632896,0.583333
eegbci,real_left_right_fist,riemann_ts_lr,subject_disjoint,20260920,subj2,3277,1620,0.968264,0.616049
eegbci,imagery_fists_feet,csp_lda,trial_random,20260916,trial0,3264,1633,0.578125,0.553582
eegbci,imagery_fists_feet,riemann_ts_lr,trial_random,20260916,trial0,3264,1633,0.939338,0.630129
eegbci,imagery_fists_feet,csp_lda,trial_random,20260916,trial1,3265,1632,0.585299,0.574142
eegbci,imagery_fists_feet,riemann_ts_lr,trial_random,20260916,trial1,3265,1632,0.943645,0.617647
eegbci,imagery_fists_feet,csp_lda,trial_random,20260916,trial2,3265,1632,0.590812,0.536152
eegbci,imagery_fists_feet,riemann_ts_lr,trial_random,20260916,trial2,3265,1632,0.950077,0.620711
eegbci,imagery_fists_feet,csp_lda,trial_random,20260917,trial0,3264,1633,0.582108,0.554195
eegbci,imagery_fists_feet,riemann_ts_lr,trial_random,20260917,trial0,3264,1633,0.939645,0.619718
eegbci,imagery_fists_feet,csp_lda,trial_random,20260917,trial1,3265,1632,0.592037,0.544118
eegbci,imagery_fists_feet,riemann_ts_lr,trial_random,20260917,trial1,3265,1632,0.940276,0.623775
eegbci,imagery_fists_feet,csp_lda,trial_random,20260917,trial2,3265,1632,0.599387,0.582721
