task,model,width,preproc,protocol,seed,fold,n_train,n_test,n_fit,n_val,train_acc,val_acc,test_acc,best_epoch,epochs_run,n_params
real_left_right_fist,shallow_fbcsp,default,ztrial,trial_random,20260918,trial1,3265,1632,2775,490,0.953752,0.742857,0.738971,21,27,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,trial_random,20260918,trial2,3265,1632,2775,490,0.951302,0.736735,0.748162,24,30,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260916,run0,3260,1637,2771,489,0.896626,0.742331,0.704948,11,17,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260916,run1,3267,1630,2776,491,0.830119,0.725051,0.689571,6,12,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260916,run2,3267,1630,2776,491,0.908479,0.765784,0.716564,11,17,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260917,run0,3260,1637,2771,489,0.930368,0.736196,0.715944,15,21,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260917,run1,3267,1630,2776,491,0.888277,0.725051,0.722699,11,17,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260917,run2,3267,1630,2776,491,0.884298,0.735234,0.720859,8,14,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260918,run0,3260,1637,2771,489,0.947853,0.754601,0.737324,22,28,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260918,run1,3267,1630,2776,491,0.935721,0.712831,0.731902,21,27,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,run_disjoint,20260918,run2,3267,1630,2776,491,0.848485,0.735234,0.686503,8,14,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260916,subj0,3240,1657,2745,495,0.894444,0.668687,0.717562,11,17,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260916,subj1,3280,1617,2785,495,0.930183,0.721212,0.709957,13,19,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260916,subj2,3274,1623,2767,507,0.880269,0.714004,0.711645,9,15,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260917,subj0,3219,1678,2727,492,0.859894,0.70122,0.716329,8,14,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260917,subj1,3292,1605,2784,508,0.910693,0.714567,0.722118,11,17,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260917,subj2,3283,1614,2794,489,0.925678,0.678937,0.714994,15,21,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260918,subj0,3235,1662,2743,492,0.916229,0.699187,0.737665,13,19,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260918,subj1,3289,1608,2797,492,0.920341,0.764228,0.70398,17,23,106482
real_left_right_fist,shallow_fbcsp,default,ztrial,subject_disjoint,20260918,subj2,3270,1627,2775,495,0.859327,0.707071,0.698218,9,15,106482
imagery_fists_feet,eegnet_v4,default,ztrial,trial_random,20260916,trial0,3264,1633,2774,490,0.757966,0.714286,0.687691,20,26,2770
imagery_fists_feet,eegnet_v4,default,ztrial,trial_random,20260916,trial1,3265,1632,2775,490,0.750689,0.697959,0.662377,15,21,2770
imagery_fists_feet,eegnet_v4,default,ztrial,trial_random,20260916,trial2,3265,1632,2775,490,0.780092,0.7,0.677083,21,27,2770
imagery_fists_feet,eegnet_v4,default,ztrial,trial_random,20260917,trial0,3264,1633,2774,490,0.730392,0.661224,0.687079,15,21,2770
imagery_fists_feet,eegnet_v4,default,ztrial,trial_random,20260917,trial1,3265,1632,2775,490,0.769066,0.712245,0.672181,16,22,2770
imagery_fists_feet,eegnet_v4,default,ztrial,trial_random,20260917,trial2,3265,1632,2775,490,0.74732,0.691837,0.683824,13,19,2770
imagery_fists_feet,eegnet_v4,default,ztrial,trial_random,20260918,trial0,3264,1633,2774,490,0.769914,0.702041,0.691978,18,24,2770
imagery_fists_feet,eegnet_v4,default,ztrial,trial_random,20260918,trial1,3265,1632,2775,490,0.74977,0.722449,0.695466,14,20,2770
imagery_fists_feet,eegnet_v4,default,ztrial,trial_random,20260918,trial2,3265,1632,2775,490,0.805513,0.740816,0.71201,31,37,2770
imagery_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260916,run0,3265,1632,2775,490,0.751302,0.712245,0.681373,15,21,2770
imagery_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260916,run1,3265,1632,2775,490,0.732312,0.683673,0.663603,13,19,2770
imagery_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260916,run2,3264,1633,2774,490,0.768382,0.744898,0.68218,16,22,2770
imagery_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260917,run0,3265,1632,2775,490,0.757734,0.702041,0.6875,17,23,2770
imagery_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260917,run1,3265,1632,2775,490,0.732619,0.685714,0.666667,10,16,2770
imagery_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260917,run2,3264,1633,2774,490,0.74326,0.689796,0.665646,11,17,2770
imagery_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260918,run0,3265,1632,2775,490,0.742113,0.695918,0.697917,13,19,2770
imagery_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260918,run1,3265,1632,2775,490,0.832466,0.761224,0.721201,34,40,2770
imagery_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260918,run2,3264,1633,2774,490,0.75674,0.72449,0.668096,16,22,2770
