dataset,task,model,preproc,protocol,seed,fold,n_train,n_test,n_fit,n_val,train_acc,val_acc,test_acc,best_epoch,epochs_run,n_params
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260917,loso8,2304,288,1728,576,0.75,0.663194,0.875,16,22,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260917,loso9,2304,288,1728,576,0.787326,0.727431,0.743056,19,25,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260918,loso1,2304,288,1728,576,0.772569,0.637153,0.715278,26,32,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260918,loso2,2304,288,1728,576,0.516059,0.532986,0.506944,1,7,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260918,loso3,2304,288,1728,576,0.528212,0.532986,0.489583,1,7,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260918,loso4,2304,288,1728,576,0.75651,0.644097,0.600694,12,18,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260918,loso5,2304,288,1728,576,0.820312,0.647569,0.506944,22,28,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260918,loso6,2304,288,1728,576,0.544705,0.538194,0.572917,1,7,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260918,loso7,2304,288,1728,576,0.809896,0.621528,0.59375,21,27,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260918,loso8,2304,288,1728,576,0.547743,0.543403,0.503472,1,7,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260918,loso9,2304,288,1728,576,0.621094,0.553819,0.694444,3,9,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260916,subj0,2016,576,1440,576,0.801587,0.659722,0.734375,27,33,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260916,subj1,2016,576,1440,576,0.81002,0.647569,0.597222,20,26,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260916,subj2,2016,576,1440,576,0.847718,0.746528,0.5625,29,35,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260916,subj3,2016,576,1440,576,0.737103,0.625,0.746528,10,16,2450
