task,model,N,d,draw,protocol,mean_acc,n_subjects,n_trials
imagery_left_right_fist,riemann_ts_lr,18,32,3,trial_random,0.517082,18,801
imagery_left_right_fist,riemann_ts_lr,18,128,3,trial_random,0.628154,18,801
imagery_left_right_fist,riemann_ts_lr,18,512,3,trial_random,0.586061,18,801
imagery_left_right_fist,riemann_ts_lr,18,2080,3,trial_random,0.583445,18,801
imagery_left_right_fist,csp_lda,18,6,3,trial_random,0.468434,18,801
imagery_left_right_fist,riemann_ts_lr,18,8,3,subject_disjoint,0.509316,18,801
imagery_left_right_fist,riemann_ts_lr,18,32,3,subject_disjoint,0.558762,18,801
imagery_left_right_fist,riemann_ts_lr,18,128,3,subject_disjoint,0.591295,18,801
imagery_left_right_fist,riemann_ts_lr,18,512,3,subject_disjoint,0.581028,18,801
imagery_left_right_fist,riemann_ts_lr,18,2080,3,subject_disjoint,0.567096,18,801
imagery_left_right_fist,csp_lda,18,6,3,subject_disjoint,0.499589,18,801
imagery_left_right_fist,riemann_ts_lr,18,8,4,trial_random,0.45871,18,804
imagery_left_right_fist,riemann_ts_lr,18,32,4,trial_random,0.583925,18,804
imagery_left_right_fist,riemann_ts_lr,18,128,4,trial_random,0.626136,18,804
imagery_left_right_fist,riemann_ts_lr,18,512,4,trial_random,0.618785,18,804
imagery_left_right_fist,riemann_ts_lr,18,2080,4,trial_random,0.62117,18,804
imagery_left_right_fist,csp_lda,18,6,4,trial_random,0.552334,18,804
imagery_left_right_fist,riemann_ts_lr,18,8,4,subject_disjoint,0.504938,18,804
imagery_left_right_fist,riemann_ts_lr,18,32,4,subject_disjoint,0.581224,18,804
imagery_left_right_fist,riemann_ts_lr,18,128,4,subject_disjoint,0.570224,18,804
imagery_left_right_fist,riemann_ts_lr,18,512,4,subject_disjoint,0.584981,18,804
imagery_left_right_fist,riemann_ts_lr,18,2080,4,subject_disjoint,0.577659,18,804
imagery_left_right_fist,csp_lda,18,6,4,subject_disjoint,0.539391,18,804
imagery_left_right_fist,riemann_ts_lr,18,8,5,trial_random,0.453743,18,800
imagery_left_right_fist,riemann_ts_lr,18,32,5,trial_random,0.536496,18,800
imagery_left_right_fist,riemann_ts_lr,18,128,5,trial_random,0.621223,18,800
imagery_left_right_fist,riemann_ts_lr,18,512,5,trial_random,0.604561,18,800
imagery_left_right_fist,riemann_ts_lr,18,2080,5,trial_random,0.608295,18,800
imagery_left_right_fist,csp_lda,18,6,5,trial_random,0.496522,18,800
imagery_left_right_fist,riemann_ts_lr,18,8,5,subject_disjoint,0.503761,18,800
imagery_left_right_fist,riemann_ts_lr,18,32,5,subject_disjoint,0.547814,18,800
imagery_left_right_fist,riemann_ts_lr,18,128,5,subject_disjoint,0.551567,18,800
imagery_left_right_fist,riemann_ts_lr,18,512,5,subject_disjoint,0.572581,18,800
imagery_left_right_fist,riemann_ts_lr,18,2080,5,subject_disjoint,0.586748,18,800
imagery_left_right_fist,csp_lda,18,6,5,subject_disjoint,0.521187,18,800
imagery_left_right_fist,riemann_ts_lr,18,8,6,trial_random,0.48011,18,785
imagery_left_right_fist,riemann_ts_lr,18,32,6,trial_random,0.531727,18,785
imagery_left_right_fist,riemann_ts_lr,18,128,6,trial_random,0.606799,18,785
imagery_left_right_fist,riemann_ts_lr,18,512,6,trial_random,0.602802,18,785
imagery_left_right_fist,riemann_ts_lr,18,2080,6,trial_random,0.612866,18,785
imagery_left_right_fist,csp_lda,18,6,6,trial_random,0.512851,18,785
imagery_left_right_fist,riemann_ts_lr,18,8,6,subject_disjoint,0.508374,18,785
imagery_left_right_fist,riemann_ts_lr,18,32,6,subject_disjoint,0.552141,18,785
imagery_left_right_fist,riemann_ts_lr,18,128,6,subject_disjoint,0.552778,18,785
imagery_left_right_fist,riemann_ts_lr,18,512,6,subject_disjoint,0.551259,18,785
imagery_left_right_fist,riemann_ts_lr,18,2080,6,subject_disjoint,0.547644,18,785
imagery_left_right_fist,csp_lda,18,6,6,subject_disjoint,0.556258,18,785
imagery_left_right_fist,riemann_ts_lr,18,8,7,trial_random,0.457556,18,820
imagery_left_right_fist,riemann_ts_lr,18,32,7,trial_random,0.499631,18,820
imagery_left_right_fist,riemann_ts_lr,18,128,7,trial_random,0.623547,18,820
imagery_left_right_fist,riemann_ts_lr,18,512,7,trial_random,0.613781,18,820
imagery_left_right_fist,riemann_ts_lr,18,2080,7,trial_random,0.621131,18,820
imagery_left_right_fist,csp_lda,18,6,7,trial_random,0.512959,18,820
imagery_left_right_fist,riemann_ts_lr,18,8,7,subject_disjoint,0.489705,18,820
imagery_left_right_fist,riemann_ts_lr,18,32,7,subject_disjoint,0.53908,18,820
imagery_left_right_fist,riemann_ts_lr,18,128,7,subject_disjoint,0.578131,18,820
imagery_left_right_fist,riemann_ts_lr,18,512,7,subject_disjoint,0.546552,18,820
imagery_left_right_fist,riemann_ts_lr,18,2080,7,subject_disjoint,0.545318,18,820
imagery_left_right_fist,csp_lda,18,6,7,subject_disjoint,0.531795,18,820
imagery_left_right_fist,riemann_ts_lr,18,8,8,trial_random,0.47058,18,799
imagery_left_right_fist,riemann_ts_lr,18,32,8,trial_random,0.538239,18,799
imagery_left_right_fist,riemann_ts_lr,18,128,8,trial_random,0.613195,18,799
imagery_left_right_fist,riemann_ts_lr,18,512,8,trial_random,0.621576,18,799
imagery_left_right_fist,riemann_ts_lr,18,2080,8,trial_random,0.621223,18,799
imagery_left_right_fist,csp_lda,18,6,8,trial_random,0.488772,18,799
