dataset,task,model,contrast,protocol_a,protocol_b,n,mean_a,mean_b,mean_diff,ci_low,ci_high,wilcoxon_W,p_wilcoxon,p_signflip,n_positive,n_negative,p_holm,family
eegbci,paradigm_mean,eegnet_v4,calibration_gap,within_subject,subject_disjoint,109,0.527169,0.726499,-0.19933,-0.213189,-0.185056,2,1.35144e-19,9.999e-05,1,108,3.78404e-18,eegbci/paradigm_mean
eegbci,paradigm_mean,eegnet_v4_globalscale,subject_overlap_component,run_disjoint,subject_disjoint,109,0.751785,0.730121,0.0216639,0.0123873,0.0314231,1659.5,8.34766e-05,9.999e-05,68,40,0.000918243,eegbci/paradigm_mean
eegbci,paradigm_mean,eegnet_v4_globalscale,run_temporal_component,trial_random,run_disjoint,109,0.74231,0.751785,-0.00947489,-0.0154975,-0.00343337,1974,0.00197164,0.00269973,40,69,0.0157732,eegbci/paradigm_mean
eegbci,paradigm_mean,eegnet_v4_globalscale,delta_leak_original_definition,trial_random,subject_disjoint,109,0.74231,0.730121,0.012189,0.0031667,0.0210296,2196.5,0.0221245,0.00889911,64,44,0.110622,eegbci/paradigm_mean
eegbci,paradigm_mean,riemann_ts_lr,subject_overlap_component,run_disjoint,subject_disjoint,109,0.688173,0.620273,0.0679,0.0579289,0.0774284,49,4.9199e-19,9.999e-05,106,3,1.27917e-17,eegbci/paradigm_mean
eegbci,paradigm_mean,riemann_ts_lr,run_temporal_component,trial_random,run_disjoint,109,0.685487,0.688173,-0.00268591,-0.00775294,0.00178612,2628,0.263954,0.250575,52,57,0.791863,eegbci/paradigm_mean
eegbci,paradigm_mean,riemann_ts_lr,delta_leak_original_definition,trial_random,subject_disjoint,109,0.685487,0.620273,0.0652141,0.055831,0.0744755,61,6.81975e-19,9.999e-05,104,5,1.70494e-17,eegbci/paradigm_mean
eegbci,paradigm_mean,riemann_ts_lr,calibration_gap,within_subject,subject_disjoint,109,0.706965,0.620273,0.0866921,0.0736917,0.100474,181,1.66609e-17,9.999e-05,100,9,3.66541e-16,eegbci/paradigm_mean
eegbci,paradigm_mean,riemann_ts_lr_ztrial,subject_overlap_component,run_disjoint,subject_disjoint,109,0.673971,0.611032,0.0629387,0.0534239,0.0719765,134.5,4.90463e-18,9.999e-05,100,9,1.17711e-16,eegbci/paradigm_mean
eegbci,paradigm_mean,riemann_ts_lr_ztrial,run_temporal_component,trial_random,run_disjoint,109,0.665393,0.673971,-0.00857745,-0.0139836,-0.00311396,2063.5,0.00474701,0.00279972,45,64,0.0332291,eegbci/paradigm_mean
eegbci,paradigm_mean,riemann_ts_lr_ztrial,delta_leak_original_definition,trial_random,subject_disjoint,109,0.665393,0.611032,0.0543613,0.0450844,0.063384,160,9.6131e-18,9.999e-05,98,11,2.21101e-16,eegbci/paradigm_mean
eegbci,paradigm_mean,shallow_fbcsp,subject_overlap_component,run_disjoint,subject_disjoint,109,0.710475,0.688474,0.0220015,0.0169609,0.0272898,745.5,1.63163e-11,9.999e-05,83,25,2.93694e-10,eegbci/paradigm_mean
eegbci,paradigm_mean,shallow_fbcsp,run_temporal_component,trial_random,run_disjoint,109,0.7101,0.710475,-0.000375714,-0.00469059,0.00380966,2922,0.948677,0.864314,57,51,0.948677,eegbci/paradigm_mean
eegbci,paradigm_mean,shallow_fbcsp,delta_leak_original_definition,trial_random,subject_disjoint,109,0.7101,0.688474,0.0216258,0.0169066,0.0266394,661.5,1.63709e-12,9.999e-05,91,18,3.11047e-11,eegbci/paradigm_mean
eegbci,paradigm_mean,shallow_fbcsp,calibration_gap,within_subject,subject_disjoint,109,0.586516,0.688474,-0.101958,-0.116297,-0.0872335,195,2.39849e-17,9.999e-05,11,98,5.03684e-16,eegbci/paradigm_mean
eegbci,paradigm_mean,shallow_fbcsp_globalscale,subject_overlap_component,run_disjoint,subject_disjoint,109,0.72879,0.701135,0.0276552,0.0198914,0.0355142,1059,1.28672e-08,9.999e-05,82,25,1.54406e-07,eegbci/paradigm_mean
eegbci,paradigm_mean,shallow_fbcsp_globalscale,run_temporal_component,trial_random,run_disjoint,109,0.717698,0.72879,-0.0110918,-0.0179664,-0.00396725,1869.5,0.00153081,0.00269973,39,68,0.0137773,eegbci/paradigm_mean
eegbci,paradigm_mean,shallow_fbcsp_globalscale,delta_leak_original_definition,trial_random,subject_disjoint,109,0.717698,0.701135,0.0165635,0.00793974,0.025796,1890.5,0.00125456,0.00059994,65,43,0.0125456,eegbci/paradigm_mean
eegbci,real_fists_feet,csp_lda,subject_overlap_component,run_disjoint,subject_disjoint,109,0.515059,0.507244,0.00781522,-0.00610261,0.0225859,2596.5,0.451266,0.290171,54,52,1,eegbci/real_fists_feet
eegbci,real_fists_feet,csp_lda,run_temporal_component,trial_random,run_disjoint,109,0.5142,0.515059,-0.000858723,-0.0126651,0.0110498,2924.5,0.95478,0.888711,53,55,1,eegbci/real_fists_feet
eegbci,real_fists_feet,csp_lda,delta_leak_original_definition,trial_random,subject_disjoint,109,0.5142,0.507244,0.00695649,-0.00158493,0.0161891,2447,0.283475,0.127287,53,52,1,eegbci/real_fists_feet
eegbci,real_fists_feet,csp_lda,calibration_gap,within_subject,subject_disjoint,109,0.7615,0.507244,0.254256,0.225322,0.283999,41,3.95319e-19,9.999e-05,104,5,1.10689e-17,eegbci/real_fists_feet
eegbci,real_fists_feet,csp_lda_ztrial,subject_overlap_component,run_disjoint,subject_disjoint,109,0.577205,0.572101,0.00510468,-0.00586478,0.0160803,2457.5,0.572643,0.387861,49,53,1,eegbci/real_fists_feet
