dataset,task,model,protocol,seed,fold,n_train,n_test,train_acc,test_acc
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s5_h2,30,15,1,0.666667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s5_h2,30,15,1,0.466667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s6_h0,30,15,0.966667,0.533333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s6_h0,30,15,1,0.533333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s6_h1,30,15,1,0.666667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s6_h1,30,15,1,0.666667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s6_h2,30,15,1,0.533333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s6_h2,30,15,1,0.6
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s7_h0,30,15,1,0.933333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s7_h0,30,15,1,0.8
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s7_h1,30,15,1,0.933333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s7_h1,30,15,1,0.933333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s7_h2,30,15,1,1
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s7_h2,30,15,1,1
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s8_h0,30,15,1,0.533333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s8_h0,30,15,1,0.666667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s8_h1,30,15,0.966667,0.4
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s8_h1,30,15,1,0.533333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s8_h2,30,15,1,0.466667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s8_h2,30,15,1,0.533333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s9_h0,30,15,1,0.533333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s9_h0,30,15,1,0.533333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s9_h1,30,15,1,0.466667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s9_h1,30,15,1,0.533333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s9_h2,30,15,1,0.6
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s9_h2,30,15,1,0.533333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s10_h0,30,15,0.966667,0.533333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s10_h0,30,15,1,0.533333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s10_h1,30,15,1,0.666667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s10_h1,30,15,1,0.6
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s10_h2,30,15,0.966667,0.733333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s10_h2,30,15,1,0.533333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s11_h0,30,15,1,0.466667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s11_h0,30,15,1,0.733333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s11_h1,30,15,1,0.533333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s11_h1,30,15,1,0.533333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s11_h2,30,15,0.966667,0.733333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s11_h2,30,15,1,0.466667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s12_h0,30,15,0.733333,0.533333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s12_h0,30,15,1,0.666667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s12_h1,30,15,0.766667,0.6
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s12_h1,30,15,1,0.666667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s12_h2,30,15,1,0.8
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s12_h2,30,15,1,0.6
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s13_h0,30,15,0.933333,0.466667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s13_h0,30,15,1,0.466667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s13_h1,30,15,0.966667,0.666667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s13_h1,30,15,1,0.533333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s13_h2,30,15,0.9,0.666667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s13_h2,30,15,1,0.733333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s14_h0,30,15,1,0.466667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s14_h0,30,15,1,0.6
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s14_h1,30,15,0.9,0.6
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s14_h1,30,15,1,0.533333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s14_h2,30,15,1,0.6
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s14_h2,30,15,1,0.6
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s15_h0,30,15,1,0.6
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s15_h0,30,15,1,0.533333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s15_h1,30,15,1,0.733333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s15_h1,30,15,1,0.866667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s15_h2,30,15,1,0.8
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s15_h2,30,15,1,0.866667
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s16_h0,30,15,1,0.533333
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s16_h0,30,15,1,0.533333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s16_h1,30,15,1,0.666667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s16_h1,30,15,1,0.666667
