dataset,task,model,protocol,seed,fold,n_train,n_test,train_acc,test_acc
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260918,subj4,2304,288,0.807292,0.815972
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260919,subj0,2016,576,0.662698,0.704861
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260919,subj0,2016,576,0.831845,0.633681
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260919,subj1,2016,576,0.679563,0.782986
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260919,subj1,2016,576,0.796131,0.802083
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260919,subj2,2016,576,0.725694,0.673611
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260919,subj2,2016,576,0.833333,0.668403
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260919,subj3,2016,576,0.738591,0.564236
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260919,subj3,2016,576,0.854663,0.5625
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260919,subj4,2304,288,0.710069,0.666667
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260919,subj4,2304,288,0.819444,0.565972
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260920,subj0,2016,576,0.679563,0.782986
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260920,subj0,2016,576,0.796131,0.802083
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260920,subj1,2016,576,0.701885,0.793403
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260920,subj1,2016,576,0.801587,0.776042
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260920,subj2,2016,576,0.736111,0.578125
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260920,subj2,2016,576,0.844246,0.553819
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260920,subj3,2016,576,0.74504,0.571181
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260920,subj3,2016,576,0.852183,0.553819
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260920,subj4,2304,288,0.703993,0.541667
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260920,subj4,2304,288,0.826389,0.65625
bci2a,bci2a_left_right,csp_lda,within_session,20260916,within_s1_h0,144,144,0.9375,0.784722
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,within_s1_h0,144,144,0.986111,0.833333
bci2a,bci2a_left_right,csp_lda,within_session,20260916,within_s1_h1,144,144,0.895833,0.833333
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,within_s1_h1,144,144,0.986111,0.881944
bci2a,bci2a_left_right,csp_lda,within_session,20260916,within_s2_h0,144,144,0.770833,0.548611
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,within_s2_h0,144,144,0.923611,0.513889
bci2a,bci2a_left_right,csp_lda,within_session,20260916,within_s2_h1,144,144,0.8125,0.604167
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,within_s2_h1,144,144,0.958333,0.597222
bci2a,bci2a_left_right,csp_lda,within_session,20260916,within_s3_h0,144,144,0.972222,0.875
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,within_s3_h0,144,144,1,0.861111
bci2a,bci2a_left_right,csp_lda,within_session,20260916,within_s3_h1,144,144,0.979167,0.909722
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,within_s3_h1,144,144,1,0.958333
bci2a,bci2a_left_right,csp_lda,within_session,20260916,within_s4_h0,144,144,0.895833,0.743056
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,within_s4_h0,144,144,0.993056,0.777778
bci2a,bci2a_left_right,csp_lda,within_session,20260916,within_s4_h1,144,144,0.881944,0.645833
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,within_s4_h1,144,144,0.965278,0.756944
bci2a,bci2a_left_right,csp_lda,within_session,20260916,within_s5_h0,144,144,0.777778,0.576389
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,within_s5_h0,144,144,0.979167,0.5
bci2a,bci2a_left_right,csp_lda,within_session,20260916,within_s5_h1,144,144,0.652778,0.5625
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,within_s5_h1,144,144,0.958333,0.590278
bci2a,bci2a_left_right,csp_lda,within_session,20260916,within_s6_h0,144,144,0.840278,0.756944
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,within_s6_h0,144,144,0.993056,0.763889
bci2a,bci2a_left_right,csp_lda,within_session,20260916,within_s6_h1,144,144,0.868056,0.625
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,within_s6_h1,144,144,0.986111,0.729167
bci2a,bci2a_left_right,csp_lda,within_session,20260916,within_s7_h0,144,144,0.965278,0.708333
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,within_s7_h0,144,144,1,0.659722
bci2a,bci2a_left_right,csp_lda,within_session,20260916,within_s7_h1,144,144,0.861111,0.729167
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,within_s7_h1,144,144,0.986111,0.569444
bci2a,bci2a_left_right,csp_lda,within_session,20260916,within_s8_h0,144,144,0.965278,0.972222
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,within_s8_h0,144,144,1,0.930556
bci2a,bci2a_left_right,csp_lda,within_session,20260916,within_s8_h1,144,144,1,0.958333
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,within_s8_h1,144,144,1,0.972222
bci2a,bci2a_left_right,csp_lda,within_session,20260916,within_s9_h0,144,144,0.930556,0.736111
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,within_s9_h0,144,144,0.993056,0.756944
bci2a,bci2a_left_right,csp_lda,within_session,20260916,within_s9_h1,144,144,0.819444,0.930556
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,within_s9_h1,144,144,0.979167,0.847222
